time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.RTK,.Zone,.Letter
2022/10/06/19:49:56.100381,0,85796,0,GPS1_Frame,42.338634,-71.08877166666666,8.9,327929.4871364424,4689488.441560346,5,19,T
2022/10/06/19:49:57.097473,0,85797,0,GPS1_Frame,42.33863483333333,-71.08877283333332,8.9,327929.3932968988,4689488.536456633,5,19,T
2022/10/06/19:49:58.098840,0,85798,0,GPS1_Frame,42.338635499999995,-71.08877383333333,8.8,327929.3127331119,4689488.612508576,5,19,T
2022/10/06/19:49:59.099856,0,85799,0,GPS1_Frame,42.33863566666667,-71.08877433333333,8.8,327929.27199660504,4689488.632027481,5,19,T
2022/10/06/19:50:00.094948,0,85800,0,GPS1_Frame,42.338635999999994,-71.08877483333335,8.8,327929.2317147126,4689488.670053451,5,19,T
2022/10/06/19:50:01.094294,0,85801,0,GPS1_Frame,42.3386365,-71.08877550000001,8.8,327929.1781570628,4689488.726923772,5,19,T
2022/10/06/19:50:02.097869,0,85802,0,GPS1_Frame,42.33863683333334,-71.08877616666668,8.7,327929.1241447994,4689488.765287025,5,19,T
2022/10/06/19:50:03.096453,0,85803,0,GPS1_Frame,42.33863766666666,-71.08877733333334,8.6,327929.0303052631,4689488.860183314,5,19,T
2022/10/06/19:50:04.091392,0,85804,0,GPS1_Frame,42.33863816666667,-71.08877833333332,8.6,327928.94928687107,4689488.917728196,5,19,T
2022/10/06/19:50:05.099538,0,85805,0,GPS1_Frame,42.338638666666675,-71.08877866666667,8.6,327928.9231899728,4689488.973923957,5,19,T
2022/10/06/19:50:06.098130,0,85806,0,GPS1_Frame,42.33863899999999,-71.088779,8.5,327928.8966384599,4689489.01161265,5,19,T
2022/10/06/19:50:07.097778,0,85807,0,GPS1_Frame,42.33863933333334,-71.0887795,8.5,327928.85635657376,4689489.049638625,5,19,T
2022/10/06/19:50:08.098818,0,85808,0,GPS1_Frame,42.33863983333334,-71.08878,8.5,327928.81652930344,4689489.106171668,5,19,T
